id_auteur ;nom_auteur ;pre_nom_auteur ;naissance ;deces ;nationalite_ 
1;Nothomb ;Ame_lie ;09/07/1966;- ;belge 
2;Houellebecq ;Michel ;26/02/1956;- ;franc_ais 
